frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
244,0,-2.36329,-3.12845,-2.30192,-3.28801,0.0,0.0058282,0.00315
245,0,-2.16789,-2.95515,-2.11168,-3.11449,0.0,0.006078,0.0041632
246,0,-1.96702,-2.75201,-1.91048,-2.90902,0.0,0.0065158,0.0050253
247,0,-1.76118,-2.52108,-1.70987,-2.67819,0.0,0.0066002,0.005746
248,0,-1.55089,-2.2647,-1.49719,-2.41652,0.0,0.0070651,0.0065722
249,0,-1.33669,-1.98544,-1.2836,-2.13662,0.0,0.0071638,0.0070852
250,0,-1.1191,-1.68614,-1.06616,-1.83512,0.0,0.0073591,0.0076819
251,0,-0.8987,-1.36981,-0.8477,-1.51736,0.0,0.0074525,0.0081387
252,0,-0.67602,-1.03965,-0.62261,-1.18873,0.0,0.007684,0.0084203
253,0,-0.45163,-0.69898,-0.40346,-0.84464,0.0,0.0075773,0.0088821
254,0,-0.2261,-0.35127,-0.18126,-0.50168,0.0,0.0076594,0.0088379
255,0,-0.0,-0.0,0.0432,-0.14905,0.0,0.0077619,0.009103
256,0,0.2261,0.35127,0.26984,0.20375,0.0,0.0078241,0.0090992
257,0,0.45163,0.69898,0.48755,0.55005,0.0,0.0075456,0.0089503
258,0,0.67602,1.03965,0.71564,0.8914,0.0,0.0078194,0.008769
259,0,0.8987,1.36981,0.93647,1.22058,0.0,0.0075655,0.0084529
260,0,1.1191,1.68614,1.15894,1.53918,0.0,0.0075696,0.0081464
261,0,1.33669,1.98544,1.37858,1.83841,0.0,0.0074122,0.0076088
262,0,1.55089,2.2647,1.59029,2.11877,0.0,0.0071122,0.0071059
263,0,1.76118,2.52108,1.79615,2.37378,0.0,0.0068457,0.0064104
264,0,1.96702,2.75201,1.99635,2.60873,0.0,0.0066052,0.0058646
265,0,2.16789,2.95515,2.1972,2.8133,0.0,0.0065021,0.0050009
266,0,2.36329,3.12845,2.3902,2.98988,0.0,0.0061684,0.0042391
267,0,2.55271,3.27015,2.57584,3.13233,0.0,0.0058235,0.0033012
268,0,2.73569,3.37884,2.75856,3.23649,0.0,0.0055883,0.0022275
269,0,2.91175,3.4534,2.93143,3.31173,0.0,0.0051938,0.0014474
270,0,3.08046,3.49309,3.09738,3.35593,0.0,0.0048739,0.0005949
271,0,3.24139,3.49751,3.25975,3.3606,0.0,0.0046147,-0.0005109
272,0,3.39413,3.46662,3.40849,3.3236,0.0,0.0040624,-0.0016374
273,0,3.5383,3.40071,3.5507,3.25751,0.0,0.0037616,-0.0024361
274,0,3.67353,3.30047,3.68333,3.16141,0.0,0.0033705,-0.0032486
275,0,3.79948,3.16689,3.81225,3.03288,0.0,0.0031359,-0.0041525
276,0,3.91583,3.00134,3.93021,2.86971,0.0,0.0026875,-0.0050909
277,0,4.02229,2.80548,4.03263,2.67088,0.0,0.0021049,-0.0060397
278,0,4.11859,2.5813,4.13405,2.44669,0.0,0.0019756,-0.0067544
279,0,4.20448,2.33104,4.22055,2.19706,0.0,0.0014516,-0.0074162
280,0,4.27975,2.05725,4.29769,1.92041,0.0,0.0010788,-0.0081447
281,0,4.34422,1.76268,4.35973,1.62503,0.0,0.0005766,-0.0086157
282,0,4.39771,1.45032,4.41952,1.31322,0.0,0.0004471,-0.0090722
283,0,4.44009,1.1233,4.45887,0.9856,0.0,-0.0001945,-0.0094393
284,0,4.47125,0.78495,4.48896,0.65214,0.0,-0.0004798,-0.0095681
285,0,4.49112,0.43867,4.50905,0.30595,0.0,-0.0008139,-0.0098893
286,0,4.49965,0.08796,4.51102,-0.04694,0.0,-0.0013534,-0.0100071
287,0,4.4968,-0.26364,4.51031,-0.39886,0.0,-0.0014254,-0.0099692
288,0,4.4826,-0.61258,4.49649,-0.74392,0.0,-0.0017694,-0.0097231
289,0,4.45708,-0.95533,4.47343,-1.08511,0.0,-0.0020153,-0.0095765
290,0,4.42029,-1.28844,4.42876,-1.42388,0.0,-0.0026172,-0.0094222
291,0,4.37234,-1.60853,4.38063,-1.74899,0.0,-0.0026607,-0.0090216
292,0,4.31335,-1.91238,4.32934,-2.04499,0.0,-0.002634,-0.0081843
293,0,4.24346,-2.19692,4.25654,-2.33641,0.0,-0.0032245,-0.0079693
294,0,4.16285,-2.45927,4.17639,-2.60388,0.0,-0.0033369,-0.0072615
295,0,4.07172,-2.6968,4.08616,-2.83922,0.0,-0.0034939,-0.0063111
296,0,3.97031,-2.90709,3.98182,-3.0476,0.0,-0.0037855,-0.0054914
297,0,3.85887,-3.08802,3.86935,-3.22709,0.0,-0.0039005,-0.0046404
298,0,3.73768,-3.23777,3.753,-3.37216,0.0,-0.0038726,-0.0036499
299,0,3.60705,-3.35483,3.62798,-3.48146,0.0,-0.0039754,-0.0026019
