frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
372,0,3.514881,-3.414102,0.0,-1.336687,-1.985441,0.0
373,0,3.514881,-3.414102,0.0,-1.264508,-1.887756,0.0
374,0,3.514881,-3.414102,0.0,-1.191973,-1.787951,0.0
375,0,3.514881,-3.414102,0.0,-1.119104,-1.686138,0.0
376,0,3.514881,-3.414102,0.0,-1.045921,-1.582432,0.0
377,0,3.514881,-3.414102,0.0,-0.972445,-1.476949,0.0
378,0,3.514881,-3.414102,0.0,-0.898695,-1.369808,0.0
379,0,3.514881,-3.414102,0.0,-0.824693,-1.261129,0.0
380,0,3.514881,-3.414102,0.0,-0.750459,-1.151033,0.0
381,0,3.514881,-3.414102,0.0,-0.676015,-1.039646,0.0
382,0,3.514881,-3.414102,0.0,-0.601381,-0.92709,0.0
383,0,3.514881,-3.414102,0.0,-0.526578,-0.813494,0.0
384,0,3.514881,-3.414102,0.0,-0.451628,-0.698985,0.0
385,0,3.514881,-3.414102,0.0,-0.37655,-0.583691,0.0
386,0,3.514881,-3.414102,0.0,-0.301367,-0.467741,0.0
387,0,3.514881,-3.414102,0.0,-0.226099,-0.351266,0.0
388,0,3.514881,-3.414102,0.0,-0.150768,-0.234397,0.0
389,0,3.514881,-3.414102,0.0,-0.075395,-0.117264,0.0
390,0,3.514881,-3.414102,0.0,-0.0,-0.0,0.0
391,0,3.514881,-3.414102,0.0,0.075395,0.117264,0.0
392,0,3.514881,-3.414102,0.0,0.150768,0.234397,0.0
393,0,3.514881,-3.414102,0.0,0.226099,0.351266,0.0
394,0,3.514881,-3.414102,0.0,0.301367,0.467741,0.0
395,0,3.514881,-3.414102,0.0,0.37655,0.583691,0.0
396,0,3.514881,-3.414102,0.0,0.451628,0.698985,0.0
397,0,3.514881,-3.414102,0.0,0.526578,0.813494,0.0
398,0,3.514881,-3.414102,0.0,0.601381,0.92709,0.0
399,0,3.514881,-3.414102,0.0,0.676015,1.039646,0.0
400,0,3.514881,-3.414102,0.0,0.750459,1.151033,0.0
401,0,3.514881,-3.414102,0.0,0.824693,1.261129,0.0
402,0,3.514881,-3.414102,0.0,0.898695,1.369808,0.0
403,0,3.514881,-3.414102,0.0,0.972445,1.476949,0.0
404,0,3.514881,-3.414102,0.0,1.045921,1.582432,0.0
405,0,3.514881,-3.414102,0.0,1.119104,1.686138,0.0
406,0,3.514881,-3.414102,0.0,1.191973,1.787951,0.0
407,0,3.514881,-3.414102,0.0,1.264508,1.887756,0.0
408,0,3.514881,-3.414102,0.0,1.336687,1.985441,0.0
